round;w1;w2;w3;w4;w5
1;0.20000000298023224;0.25;0.25;0.10000000149011612;0.20000000298023224
2;0.20000000298023224;0.25;0.25;0.10000000149011612;0.20000000298023224
3;0.1165;0.35;0.23349999999999999;0.15000000000000005;0.15000000000000002
4;0.1125;0.35;0.2375;0.15000000000000005;0.15000000000000002
5;0.101;0.35;0.249;0.15000000000000005;0.15000000000000002
6;0.14750000000000002;0.35;0.20249999999999999;0.15000000000000005;0.15000000000000002
7;0.14650000000000002;0.35;0.2035;0.15000000000000005;0.15000000000000002
8;0.14650000000000002;0.35;0.2035;0.15000000000000005;0.15000000000000002
9;0.14600000000000002;0.35;0.204;0.15000000000000005;0.15000000000000002
10;0.14450000000000002;0.35;0.2055;0.15000000000000005;0.15000000000000002
11;0.14450000000000002;0.35;0.2055;0.15000000000000005;0.15000000000000002
12;0.14450000000000002;0.35;0.2055;0.15000000000000005;0.15000000000000002
13;0.14300000000000002;0.35;0.207;0.15000000000000005;0.15000000000000002
14;0.14350000000000002;0.35;0.2065;0.15000000000000005;0.15000000000000002
15;0.14400000000000002;0.35;0.206;0.15000000000000005;0.15000000000000002
16;0.14200000000000002;0.35;0.208;0.15000000000000005;0.15000000000000002
17;0.14100000000000001;0.35;0.209;0.15000000000000005;0.15000000000000002
18;0.14100000000000001;0.35;0.209;0.15000000000000005;0.15000000000000002
19;0.14200000000000002;0.35;0.208;0.15000000000000005;0.15000000000000002
20;0.14200000000000002;0.35;0.208;0.15000000000000005;0.15000000000000002
21;0.14400000000000002;0.35;0.206;0.15000000000000005;0.15000000000000002
22;0.14350000000000002;0.35;0.2065;0.15000000000000005;0.15000000000000002
23;0.14300000000000002;0.35;0.207;0.15000000000000005;0.15000000000000002
24;0.1285;0.35;0.2215;0.15000000000000005;0.15000000000000002
25;0.14300000000000002;0.35;0.207;0.15000000000000005;0.15000000000000002
26;0.14450000000000002;0.35;0.2055;0.15000000000000005;0.15000000000000002
27;0.14300000000000002;0.35;0.207;0.15000000000000005;0.15000000000000002
28;0.14350000000000002;0.35;0.2065;0.15000000000000005;0.15000000000000002
29;0.14300000000000002;0.35;0.207;0.15000000000000005;0.15000000000000002
30;0.14300000000000002;0.35;0.207;0.15000000000000005;0.15000000000000002
31;0.14250000000000002;0.35;0.2075;0.15000000000000005;0.15000000000000002
32;0.14350000000000002;0.35;0.2065;0.15000000000000005;0.15000000000000002
33;0.14300000000000002;0.35;0.207;0.15000000000000005;0.15000000000000002
34;0.14250000000000002;0.35;0.2075;0.15000000000000005;0.15000000000000002
35;0.14200000000000002;0.35;0.208;0.15000000000000005;0.15000000000000002
36;0.14300000000000002;0.35;0.207;0.15000000000000005;0.15000000000000002
37;0.14250000000000002;0.35;0.2075;0.15000000000000005;0.15000000000000002
38;0.14250000000000002;0.35;0.2075;0.15000000000000005;0.15000000000000002
39;0.14350000000000002;0.35;0.2065;0.15000000000000005;0.15000000000000002
40;0.14400000000000002;0.35;0.206;0.15000000000000005;0.15000000000000002
41;0.14350000000000002;0.35;0.2065;0.15000000000000005;0.15000000000000002
42;0.14300000000000002;0.35;0.207;0.15000000000000005;0.15000000000000002
43;0.14200000000000002;0.35;0.208;0.15000000000000005;0.15000000000000002
44;0.14150000000000001;0.35;0.2085;0.15000000000000005;0.15000000000000002
45;0.14150000000000001;0.35;0.2085;0.15000000000000005;0.15000000000000002
46;0.14;0.35;0.21;0.15000000000000005;0.15000000000000002
47;0.10700000000000001;0.35;0.243;0.15000000000000005;0.15000000000000002
48;0.14200000000000002;0.35;0.208;0.15000000000000005;0.15000000000000002
49;0.1405;0.35;0.2095;0.15000000000000005;0.15000000000000002
50;0.14100000000000001;0.35;0.209;0.15000000000000005;0.15000000000000002
51;0.14150000000000001;0.35;0.2085;0.15000000000000005;0.15000000000000002
52;0.14100000000000001;0.35;0.209;0.15000000000000005;0.15000000000000002
53;0.14100000000000001;0.35;0.209;0.15000000000000005;0.15000000000000002
54;0.14250000000000002;0.35;0.2075;0.15000000000000005;0.15000000000000002
55;0.14300000000000002;0.35;0.207;0.15000000000000005;0.15000000000000002
56;0.1405;0.35;0.2095;0.15000000000000005;0.15000000000000002
57;0.14;0.35;0.21;0.15000000000000005;0.15000000000000002
58;0.14;0.35;0.21;0.15000000000000005;0.15000000000000002
59;0.139;0.35;0.211;0.15000000000000005;0.15000000000000002
60;0.139;0.35;0.211;0.15000000000000005;0.15000000000000002
61;0.139;0.35;0.211;0.15000000000000005;0.15000000000000002
62;0.1385;0.35;0.2115;0.15000000000000005;0.15000000000000002
63;0.1395;0.35;0.2105;0.15000000000000005;0.15000000000000002
64;0.139;0.35;0.211;0.15000000000000005;0.15000000000000002
65;0.1395;0.35;0.2105;0.15000000000000005;0.15000000000000002
66;0.14;0.35;0.21;0.15000000000000005;0.15000000000000002
67;0.139;0.35;0.211;0.15000000000000005;0.15000000000000002
68;0.1385;0.35;0.2115;0.15000000000000005;0.15000000000000002
69;0.139;0.35;0.211;0.15000000000000005;0.15000000000000002
70;0.139;0.35;0.211;0.15000000000000005;0.15000000000000002
71;0.139;0.35;0.211;0.15000000000000005;0.15000000000000002
72;0.1395;0.35;0.2105;0.15000000000000005;0.15000000000000002
73;0.14;0.35;0.21;0.15000000000000005;0.15000000000000002
74;0.139;0.35;0.211;0.15000000000000005;0.15000000000000002
75;0.1405;0.35;0.2095;0.15000000000000005;0.15000000000000002
76;0.14100000000000001;0.35;0.209;0.15000000000000005;0.15000000000000002
77;0.14;0.35;0.21;0.15000000000000005;0.15000000000000002
78;0.14;0.35;0.21;0.15000000000000005;0.15000000000000002
79;0.14100000000000001;0.35;0.209;0.15000000000000005;0.15000000000000002
80;0.14;0.35;0.21;0.15000000000000005;0.15000000000000002
81;0.1405;0.35;0.2095;0.15000000000000005;0.15000000000000002
82;0.1405;0.35;0.2095;0.15000000000000005;0.15000000000000002
83;0.1375;0.35;0.2125;0.15000000000000005;0.15000000000000002
84;0.137;0.35;0.213;0.15000000000000005;0.15000000000000002
85;0.137;0.35;0.213;0.15000000000000005;0.15000000000000002
86;0.1375;0.35;0.2125;0.15000000000000005;0.15000000000000002
87;0.137;0.35;0.213;0.15000000000000005;0.15000000000000002
88;0.136;0.35;0.214;0.15000000000000005;0.15000000000000002
89;0.136;0.35;0.214;0.15000000000000005;0.15000000000000002
90;0.1375;0.35;0.2125;0.15000000000000005;0.15000000000000002
91;0.137;0.35;0.213;0.15000000000000005;0.15000000000000002
92;0.138;0.35;0.212;0.15000000000000005;0.15000000000000002
93;0.137;0.35;0.213;0.15000000000000005;0.15000000000000002
94;0.136;0.35;0.214;0.15000000000000005;0.15000000000000002
95;0.135;0.35;0.215;0.15000000000000005;0.15000000000000002
96;0.1345;0.35;0.2155;0.15000000000000005;0.15000000000000002
97;0.133;0.35;0.217;0.15000000000000005;0.15000000000000002
98;0.134;0.35;0.216;0.15000000000000005;0.15000000000000002
99;0.134;0.35;0.216;0.15000000000000005;0.15000000000000002
100;0.1355;0.35;0.2145;0.15000000000000005;0.15000000000000002
101;0.135;0.35;0.215;0.15000000000000005;0.15000000000000002
102;0.1355;0.35;0.2145;0.15000000000000005;0.15000000000000002
103;0.1355;0.35;0.2145;0.15000000000000005;0.15000000000000002
104;0.136;0.35;0.214;0.15000000000000005;0.15000000000000002
105;0.137;0.35;0.213;0.15000000000000005;0.15000000000000002
106;0.138;0.35;0.212;0.15000000000000005;0.15000000000000002
107;0.1385;0.35;0.2115;0.15000000000000005;0.15000000000000002
108;0.1375;0.35;0.2125;0.15000000000000005;0.15000000000000002
109;0.137;0.35;0.213;0.15000000000000005;0.15000000000000002
110;0.137;0.35;0.213;0.15000000000000005;0.15000000000000002
111;0.137;0.35;0.213;0.15000000000000005;0.15000000000000002
112;0.1375;0.35;0.2125;0.15000000000000005;0.15000000000000002
113;0.138;0.35;0.212;0.15000000000000005;0.15000000000000002
114;0.1375;0.35;0.2125;0.15000000000000005;0.15000000000000002
115;0.1375;0.35;0.2125;0.15000000000000005;0.15000000000000002
116;0.137;0.35;0.213;0.15000000000000005;0.15000000000000002
117;0.136;0.35;0.214;0.15000000000000005;0.15000000000000002
