round;w1;w2;w3;w4;w5
1;0.20000000298023224;0.25;0.25;0.10000000149011612;0.20000000298023224
2;0.20000000298023224;0.25;0.25;0.10000000149011612;0.20000000298023224
3;0.1315;0.35;0.2185;0.15000000000000005;0.15000000000000002
4;0.1305;0.35;0.2195;0.15000000000000005;0.15000000000000002
5;0.127;0.35;0.223;0.15000000000000005;0.15000000000000002
6;0.126;0.35;0.224;0.15000000000000005;0.15000000000000002
7;0.1275;0.35;0.2225;0.15000000000000005;0.15000000000000002
8;0.1275;0.35;0.2225;0.15000000000000005;0.15000000000000002
9;0.127;0.35;0.223;0.15000000000000005;0.15000000000000002
10;0.1285;0.35;0.2215;0.15000000000000005;0.15000000000000002
11;0.128;0.35;0.222;0.15000000000000005;0.15000000000000002
12;0.127;0.35;0.223;0.15000000000000005;0.15000000000000002
13;0.1255;0.35;0.2245;0.15000000000000005;0.15000000000000002
14;0.1245;0.35;0.2255;0.15000000000000005;0.15000000000000002
15;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
16;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
17;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
18;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
19;0.12100000000000001;0.35;0.22899999999999998;0.15000000000000005;0.15000000000000002
20;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
21;0.12300000000000001;0.35;0.22699999999999998;0.15000000000000005;0.15000000000000002
22;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
23;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
24;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
25;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
26;0.12050000000000001;0.35;0.22949999999999998;0.15000000000000005;0.15000000000000002
27;0.12000000000000001;0.35;0.22999999999999998;0.15000000000000005;0.15000000000000002
28;0.11900000000000001;0.35;0.23099999999999998;0.15000000000000005;0.15000000000000002
29;0.12100000000000001;0.35;0.22899999999999998;0.15000000000000005;0.15000000000000002
30;0.1235;0.35;0.2265;0.15000000000000005;0.15000000000000002
31;0.1245;0.35;0.2255;0.15000000000000005;0.15000000000000002
32;0.1245;0.35;0.2255;0.15000000000000005;0.15000000000000002
33;0.124;0.35;0.226;0.15000000000000005;0.15000000000000002
34;0.1235;0.35;0.2265;0.15000000000000005;0.15000000000000002
35;0.12300000000000001;0.35;0.22699999999999998;0.15000000000000005;0.15000000000000002
36;0.12300000000000001;0.35;0.22699999999999998;0.15000000000000005;0.15000000000000002
37;0.1235;0.35;0.2265;0.15000000000000005;0.15000000000000002
38;0.124;0.35;0.226;0.15000000000000005;0.15000000000000002
39;0.1255;0.35;0.2245;0.15000000000000005;0.15000000000000002
40;0.124;0.35;0.226;0.15000000000000005;0.15000000000000002
41;0.124;0.35;0.226;0.15000000000000005;0.15000000000000002
42;0.1245;0.35;0.2255;0.15000000000000005;0.15000000000000002
43;0.125;0.35;0.225;0.15000000000000005;0.15000000000000002
44;0.1265;0.35;0.2235;0.15000000000000005;0.15000000000000002
45;0.1265;0.35;0.2235;0.15000000000000005;0.15000000000000002
46;0.126;0.35;0.224;0.15000000000000005;0.15000000000000002
47;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
48;0.1235;0.35;0.2265;0.15000000000000005;0.15000000000000002
49;0.1235;0.35;0.2265;0.15000000000000005;0.15000000000000002
50;0.1235;0.35;0.2265;0.15000000000000005;0.15000000000000002
51;0.124;0.35;0.226;0.15000000000000005;0.15000000000000002
52;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
53;0.1235;0.35;0.2265;0.15000000000000005;0.15000000000000002
54;0.12250000000000001;0.35;0.22749999999999998;0.15000000000000005;0.15000000000000002
55;0.12300000000000001;0.35;0.22699999999999998;0.15000000000000005;0.15000000000000002
56;0.12300000000000001;0.35;0.22699999999999998;0.15000000000000005;0.15000000000000002
57;0.124;0.35;0.226;0.15000000000000005;0.15000000000000002
58;0.1245;0.35;0.2255;0.15000000000000005;0.15000000000000002
59;0.12300000000000001;0.35;0.22699999999999998;0.15000000000000005;0.15000000000000002
60;0.1235;0.35;0.2265;0.15000000000000005;0.15000000000000002
61;0.125;0.35;0.225;0.15000000000000005;0.15000000000000002
62;0.1245;0.35;0.2255;0.15000000000000005;0.15000000000000002
63;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
64;0.124;0.35;0.226;0.15000000000000005;0.15000000000000002
65;0.12300000000000001;0.35;0.22699999999999998;0.15000000000000005;0.15000000000000002
66;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
67;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
68;0.12250000000000001;0.35;0.22749999999999998;0.15000000000000005;0.15000000000000002
69;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
70;0.12250000000000001;0.35;0.22749999999999998;0.15000000000000005;0.15000000000000002
71;0.12300000000000001;0.35;0.22699999999999998;0.15000000000000005;0.15000000000000002
72;0.12250000000000001;0.35;0.22749999999999998;0.15000000000000005;0.15000000000000002
73;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
74;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
75;0.12000000000000001;0.35;0.22999999999999998;0.15000000000000005;0.15000000000000002
76;0.12000000000000001;0.35;0.22999999999999998;0.15000000000000005;0.15000000000000002
77;0.11850000000000001;0.35;0.23149999999999998;0.15000000000000005;0.15000000000000002
78;0.11900000000000001;0.35;0.23099999999999998;0.15000000000000005;0.15000000000000002
79;0.11900000000000001;0.35;0.23099999999999998;0.15000000000000005;0.15000000000000002
80;0.12000000000000001;0.35;0.22999999999999998;0.15000000000000005;0.15000000000000002
81;0.12000000000000001;0.35;0.22999999999999998;0.15000000000000005;0.15000000000000002
82;0.12000000000000001;0.35;0.22999999999999998;0.15000000000000005;0.15000000000000002
83;0.12000000000000001;0.35;0.22999999999999998;0.15000000000000005;0.15000000000000002
84;0.12000000000000001;0.35;0.22999999999999998;0.15000000000000005;0.15000000000000002
85;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
86;0.12050000000000001;0.35;0.22949999999999998;0.15000000000000005;0.15000000000000002
87;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
88;0.12300000000000001;0.35;0.22699999999999998;0.15000000000000005;0.15000000000000002
89;0.12300000000000001;0.35;0.22699999999999998;0.15000000000000005;0.15000000000000002
90;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
91;0.12050000000000001;0.35;0.22949999999999998;0.15000000000000005;0.15000000000000002
92;0.12050000000000001;0.35;0.22949999999999998;0.15000000000000005;0.15000000000000002
93;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
94;0.12300000000000001;0.35;0.22699999999999998;0.15000000000000005;0.15000000000000002
95;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
96;0.12250000000000001;0.35;0.22749999999999998;0.15000000000000005;0.15000000000000002
97;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
98;0.12200000000000001;0.35;0.22799999999999998;0.15000000000000005;0.15000000000000002
99;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
100;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
101;0.12150000000000001;0.35;0.22849999999999998;0.15000000000000005;0.15000000000000002
102;0.12100000000000001;0.35;0.22899999999999998;0.15000000000000005;0.15000000000000002
103;0.12100000000000001;0.35;0.22899999999999998;0.15000000000000005;0.15000000000000002
104;0.12000000000000001;0.35;0.22999999999999998;0.15000000000000005;0.15000000000000002
105;0.12050000000000001;0.35;0.22949999999999998;0.15000000000000005;0.15000000000000002
